Course Code,Institution,INSTITUTION,EOS,Mid
AL801,Athlone Institute of Technology,Software Design with Virtual Reality and Gaming,304,328
AL802,Athlone Institute of Technology,Software Design with Cloud Computing,301,306
AL803,Athlone Institute of Technology,Software Design with Mobile Apps and Connected Devices,309,337
AL805,Athlone Institute of Technology,Network Management and Cloud Infrastructure,329,442
AL810,Athlone Institute of Technology,Quantity Surveying,307,349
AL820,Athlone Institute of Technology,Mechanical and Polymer Engineering,300,358
AL830,Athlone Institute of Technology,General Nursing,410,429
AL832,Athlone Institute of Technology,Psychiatric Nursing,387,403
AL836,Athlone Institute of Technology,Nutrition and Health Science,352,383
AL837,Athlone Institute of Technology,Sports Science with Exercise Physiology,351,392
AL838,Athlone Institute of Technology,Biotechnology,302,372
AL839,Athlone Institute of Technology,Microbiology,322,371
AL840,Athlone Institute of Technology,Pharmaceutical Sciences,328,411
AL841,Athlone Institute of Technology,Athletic and Rehabilitation Therapy,423,430
AL842,Athlone Institute of Technology,Bioveterinary Science,310,366
AL843,Athlone Institute of Technology,Physical Activity and Health Science,310,330
AL850,Athlone Institute of Technology,Business,307,356
AL851,Athlone Institute of Technology,Business and Law,301,341
AL852,Athlone Institute of Technology,Accounting (with optional placement),290,346
AL853,Athlone Institute of Technology,Accounting and Law,305,320
AL855,Athlone Institute of Technology,Hospitality Management (with International placement),312,357
AL857,Athlone Institute of Technology,Digital Marketing,300,360
AL860,Athlone Institute of Technology,Social Care Practice,309,338
AL861,Athlone Institute of Technology,Animation and Illustration (portfolio),#615,899
AL863,Athlone Institute of Technology,Graphic and Digital Design (portfolio),#703,898
AL864,Athlone Institute of Technology,Early Years Care and Education,307,348
AL870,Athlone Institute of Technology,Applied Psychology,409,445
CW018,"Institute of Technology, Carlow","Business (options, Wexford)",327,349
CW028,"Institute of Technology, Carlow",Early Childhood Education and Care (Wexford),252,308
CW038,"Institute of Technology, Carlow","Art (portfolio, Wexford)",#700,700
CW058,"Institute of Technology, Carlow",Tourism and Event Management (Wexford),252,262
CW068,"Institute of Technology, Carlow",Applied Social Studies - Professional Social Care (Wexford),251,280
CW078,"Institute of Technology, Carlow",Sustainable Farm Management and Agribusiness (Wexford),266,320
CW088,"Institute of Technology, Carlow",Visual Communications and Design (Wexford),309,345
CW108,"Institute of Technology, Carlow",Science (options),261,326
CW128,"Institute of Technology, Carlow",Brewing and Distilling,271,298
CW178,"Institute of Technology, Carlow",Sport Science (options),399,424
CW188,"Institute of Technology, Carlow",Sport Rehabilitation and Athletic Therapy,454,473
CW208,"Institute of Technology, Carlow",Computer Games Development,281,338
CW238,"Institute of Technology, Carlow",Software Development,300,343
CW248,"Institute of Technology, Carlow",Information Technology Management,307,357
CW258,"Institute of Technology, Carlow",Cybercrime and IT Security,300,328
CW268,"Institute of Technology, Carlow",Computing in Interactive Digital Art and Design,274,321
CW438,"Institute of Technology, Carlow",Construction (options),271,308
CW468,"Institute of Technology, Carlow",Architectural Technology,252,290
CW478,"Institute of Technology, Carlow",Civil Engineering,348,383
CW548,"Institute of Technology, Carlow",Mechanical Engineering,310,351
CW558,"Institute of Technology, Carlow",Electronic Systems,279,338
CW568,"Institute of Technology, Carlow",Aerospace Engineering,366,422
CW578,"Institute of Technology, Carlow",TV and Media Production,327,361
CW708,"Institute of Technology, Carlow",Law - LLB,298,328
CW728,"Institute of Technology, Carlow",Product Design Innovation,286,355
CW748,"Institute of Technology, Carlow",Early Childhood Education and Care,265,338
CW758,"Institute of Technology, Carlow",Applied Social Studies - Professional Social Care,290,319
CW808,"Institute of Technology, Carlow",Media and Public Relations,248,307
CW848,"Institute of Technology, Carlow",Digital Marketing with Analytics,279,307
CW858,"Institute of Technology, Carlow","Sports Management and Coaching (options, portfolio)",#700,700
CW908,"Institute of Technology, Carlow",Business (options),260,307
CW938,"Institute of Technology, Carlow",Business with Law,270,288
CW948,"Institute of Technology, Carlow",Accounting,301,408
PC405,"Carlow College, St. Patrick`s","Social, Political and Community Studies",251,296
PC410,"Carlow College, St. Patrick`s",Arts and Humanities (fulfils Teaching Council requirements),203,289
PC411,"Carlow College, St. Patrick`s",English and History (fulfils Teaching Council requirements),168,289
CR105,Cork Institute of Technology,Chemical and Biopharmaceutical Engineering,432,498
CR106,Cork Institute of Technology,Software Development,351,393
CR108,Cork Institute of Technology,Mechanical Engineering,425,487
CR109,Cork Institute of Technology,Structural Engineering,341,467
CR110,Cork Institute of Technology,Automotive Business Management and Technology,318,347
CR112,Cork Institute of Technology,Creative Digital Media,335,389
CR116,Cork Institute of Technology,Computer Systems,318,381
CR121,Cork Institute of Technology,Music at CIT Cork School of Music,#633,1052
CR125,Cork Institute of Technology,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,1021
CR126,Cork Institute of Technology,Popular Music: Drums at CIT Cork School of Music,#878,1043
CR127,Cork Institute of Technology,Popular Music: Electric Guitar at CIT Cork School of Music,#584,761
CR128,Cork Institute of Technology,Popular Music: Keyboards at CIT Cork School of Music,#839,1009
CR129,Cork Institute of Technology,Popular Music: Voice at CIT Cork School of Music,#857,927
CR130,Cork Institute of Technology,Musical Theatre,#500,600
CR150,Cork Institute of Technology,Business Information Systems,326,371
CR210,Cork Institute of Technology,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,979
CR220,Cork Institute of Technology,Fine Art at CIT Crawford College of Art and Design,#620,819
CR225,Cork Institute of Technology,Photography with New Media,#920,920
CR305,Cork Institute of Technology,Physical Sciences (Common Entry),279,309
CR310,Cork Institute of Technology,IT Management,282,317
CR320,Cork Institute of Technology,Biomedical Science (Offered jointly by CIT and UCC),546,556
CR325,Cork Institute of Technology,Pharmaceutical Biotechnology,388,422
CR333,Cork Institute of Technology,Nutrition and Health Science,360,393
CR335,Cork Institute of Technology,Biological Sciences (Common Entry),381,419
CR340,Cork Institute of Technology,Analytical Chemistry with Quality Assurance,288,315
CR360,Cork Institute of Technology,Instrument Engineering,291,329
CR365,Cork Institute of Technology,Environmental Science and Sustainable Technology,334,362
CR370,Cork Institute of Technology,Agri-Biosciences,408,431
CR400,Cork Institute of Technology,Accounting,316,389
CR420,Cork Institute of Technology,Marketing,288,329
CR425,Cork Institute of Technology,International Business with Language,300,392
CR500,Cork Institute of Technology,Engineering (Common Entry),381,424
CR510,Cork Institute of Technology,Sustainable Energy Engineering,319,343
CR520,Cork Institute of Technology,Biomedical Engineering,434,477
CR560,Cork Institute of Technology,Architectural Technology,288,332
CR565,Cork Institute of Technology,Interior Architecture,336,390
CR570,Cork Institute of Technology,Quantity Surveying,279,342
CR572,Cork Institute of Technology,Construction Management,253,300
CR580,Cork Institute of Technology,Electrical Engineering,344,374
CR590,Cork Institute of Technology,Electronic Engineering,342,411
CR600,Cork Institute of Technology,Visual Communications,#587,888
CR660,Cork Institute of Technology,Tourism Management,249,290
CR700,Cork Institute of Technology,Theatre and Drama Studies at CIT Cork School of Music,#768,906
CK101,University College Cork (NUI),Arts - 3 years,300,368
CK102,University College Cork (NUI),Social Science,391,431
CK104,University College Cork (NUI),Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),#340,409
CK105,University College Cork (NUI),Film and Screen Media - 3 years or 4 years (International Pathway),397,442
CK107,University College Cork (NUI),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,388
CK108,University College Cork (NUI),Arts International - 4 years,429,466
CK109,University College Cork (NUI),English - 3 years or 4 years (International Pathway),347,423
CK110,University College Cork (NUI),World Languages,456,506
CK111,University College Cork (NUI),Early Years and Childhood Studies,398,429
CK112,University College Cork (NUI),Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),#324,470
CK113,University College Cork (NUI),Criminology - 3 years or 4 years (International Pathway),408,430
CK114,University College Cork (NUI),Social Science (Youth and Community Work) - 3 years,#,
CK115,University College Cork (NUI),Social Work - Mature Applicants only,#,
CK116,University College Cork (NUI),Sports Studies and Physical Education,499,520
CK118,University College Cork (NUI),Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,361
CK120,University College Cork (NUI),Applied Psychology,506,532
CK121,University College Cork (NUI),Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466
CK122,University College Cork (NUI),Government and Political Science,355,410
CK201,University College Cork (NUI),Commerce,465*,489
CK202,University College Cork (NUI),Accounting,467,506
CK203,University College Cork (NUI),Business Information Systems,409,444
CK204,University College Cork (NUI),Finance,531,555
CK205,University College Cork (NUI),Commerce (International) with French,409,473
CK206,University College Cork (NUI),Commerce (International) with German,408,446
CK207,University College Cork (NUI),Commerce (International) with Italian,408,425
CK208,University College Cork (NUI),Commerce (International) with Hispanic Studies,431,455
CK209,University College Cork (NUI),Commerce (International) with Irish,509,528
CK211,University College Cork (NUI),Commerce (International) with Chinese Studies,398,420
CK212,University College Cork (NUI),Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429
CK301,University College Cork (NUI),Law (Pathways) -  3 or 4 years,476,519
CK302,University College Cork (NUI),Law and French,453,531
CK304,University College Cork (NUI),Law and Irish,462,510
CK307,University College Cork (NUI),Law and Business,522,554
CK401,University College Cork (NUI),Computer Science,402,456
CK402,University College Cork (NUI),Biological and Chemical Sciences,498,520
CK404,University College Cork (NUI),"Biological, Earth and Environmental Sciences",412,451
CK405,University College Cork (NUI),Genetics,476,496
CK406,University College Cork (NUI),Chemical Sciences,457,488
CK407,University College Cork (NUI),Mathematical Sciences,531,578
CK408,University College Cork (NUI),Physics and Astrophysics,511,566
CK409,University College Cork (NUI),Industrial Physics (offered jointly by UCC and CIT),413,532
CK411,University College Cork (NUI),Data Science and Analytics,509,542
CK412,University College Cork (NUI),Agricultural Science,457,509
CK502,University College Cork (NUI),Food Marketing and Entrepreneurship,433,456
CK504,University College Cork (NUI),Nutritional Sciences,492,509
CK505,University College Cork (NUI),Food Science,444,477
CK506,University College Cork (NUI),International Development and Food Policy,367,410
CK600,University College Cork (NUI),Engineering,465,532
CK606,University College Cork (NUI),Architecture (offered jointly by UCC and CIT),465,496
CK701,University College Cork (NUI),Medicine (Undergraduate Entry - HPAT required),#729,740
CK702,University College Cork (NUI),Dentistry,590,613
CK703,University College Cork (NUI),Pharmacy,577,589
CK704,University College Cork (NUI),Occupational Therapy,532*,554
CK705,University College Cork (NUI),Speech and Language Therapy,509,529
CK706,University College Cork (NUI),Public Health Sciences,419,451
CK707,University College Cork (NUI),Medical and Health Sciences,510*,543
CK710,University College Cork (NUI),General Nursing,440,466
CK712,University College Cork (NUI),Children`s and General Nursing (Integrated),499,520
CK720,University College Cork (NUI),Mental Health Nursing,398,429
CK730,University College Cork (NUI),Intellectual Disability Nursing,359,388
CK740,University College Cork (NUI),Midwifery,444,474
CK791,University College Cork (NUI),Medicine  - Graduate Entry (GAMSAT required),#58*,59
AC120,American College,International Business,234,269
AC137,American College,Liberal Arts,252,275
CT125,CCT College Dublin,Information Technology,235,280
CM001,Marino Institute of Education,Education - Primary Teaching,452*,462
CM002,Marino Institute of Education,Education - Primary Teaching - Gaeltacht Applicants,#421,440
CM003,Marino Institute of Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#491,506
CM004,Marino Institute of Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),#492,569
CM010,Marino Institute of Education,Education Studies,317,373
CM020,Marino Institute of Education,Early Childhood Education,336,363
DB500,Dublin Business School,Computing,242,320
DB501,Dublin Business School,Computing (Cloud Computing),326,329
DB502,Dublin Business School,Computing (Data Analytics and Big Data),269,269
DB503,Dublin Business School,Computing (Software Development),242,282
DB504,Dublin Business School,Computing (Web and Mobile Technology),227,269
DB510,Dublin Business School,Audio Production and Music Project Management,233,293
DB512,Dublin Business School,Business Studies,229,301
DB514,Dublin Business School,Business Studies (Law),269,337
DB515,Dublin Business School,Business Studies (Human Resource Management),225,288
DB516,Dublin Business School,Financial Services,328,336
DB517,Dublin Business School,Event Management,226,327
DB518,Dublin Business School,Marketing (Digital Media),210,289
DB521,Dublin Business School,Accounting and Finance,225,271
DB524,Dublin Business School,Business Information Systems,402,402
DB525,Dublin Business School,Marketing (Digital Media and Cloud Computing),284,309
DB526,Dublin Business School,Business Information Systems (Cloud Computing),253,288
DB527,Dublin Business School,Applied Social Care,235,288
DB531,Dublin Business School,Marketing,220,288
DB562,Dublin Business School,Psychology,208,310
DB566,Dublin Business School,Social Science,216,308
DB567,Dublin Business School,Film,192,295
DB568,Dublin Business School,Law,245,308
DB569,Dublin Business School,Business (Psychology),279,338
DC001,Dublin City University,Education - Early Childhood Education,398,424
DC002,Dublin City University,Education - Primary Teaching,462*,485
DC003,Dublin City University,Education - Primary Teaching - Gaeltacht Applicants,#433,473
DC004,Dublin City University,Education - Primary Teaching (Church of Ireland Centre formerly CICE),#357,
DC005,Dublin City University,Education - Primary Teaching - Irish Sign Language,#316,316
DC009,Dublin City University,Arts (Joint Honours) - Humanities,347,408
DC010,Dublin City University,Post Primary Teacher Education - Religious Education and English,386,413
DC011,Dublin City University,Post Primary Teacher Education - Religious Education and History,352,389
DC012,Dublin City University,Post Primary Teacher Education - Religious Education and Music,#367,415
DC013,Dublin City University,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509
DC014,Dublin City University,BA in Jazz and Contemporary Music Performance,#428,590
DC110,Dublin City University,Business Studies International,440,462
DC111,Dublin City University,Business Studies,463,479
DC112,Dublin City University,Global Business (France),495,510
DC113,Dublin City University,Global Business (Germany),440,476
DC114,Dublin City University,Global Business (Spain),501,543
DC115,Dublin City University,Accounting and Finance,487,500
DC116,Dublin City University,Global Business (USA),578,589
DC117,Dublin City University,Aviation Management / Aviation Management with Pilot Studies,463,487
DC118,Dublin City University,Gnó agus Gaeilge / Business and Irish,357,399
DC119,Dublin City University,Global Business (Canada),566,577
DC120,Dublin City University,Enterprise Computing,350,389
DC121,Dublin City University,Computer Applications,370,418
DC123,Dublin City University,Data Science,467,511
DC126,Dublin City University,Actuarial Mathematics,520,543
DC127,Dublin City University,Common Entry into Actuarial and Financial Mathematics,509,531
DC131,Dublin City University,Communication Studies,400,441
DC132,Dublin City University,Journalism,401,440
DC133,Dublin City University,Multimedia,403,451
DC155,Dublin City University,Applied Language and Translation Studies,371,430
DC161,Dublin City University,Analytical Science,446,463
DC162,Dublin City University,Chemical and Pharmaceutical Sciences,488,498
DC166,Dublin City University,Environmental Science and Technology,412,442
DC167,Dublin City University,Physics with Astronomy,434,477
DC168,Dublin City University,Genetics and Cell Biology,489,500
DC171,Dublin City University,Applied Physics,402,433
DC173,Dublin City University,Physics with Biomedical Sciences,402,458
DC181,Dublin City University,Biotechnology,476,488
DC190,Dublin City University,Electronic and Computer Engineering (with choice of four majors),391,433
DC193,Dublin City University,Mechatronic Engineering,404,445
DC195,Dublin City University,Mechanical and Manufacturing Engineering,401,444
DC197,Dublin City University,Biomedical Engineering,402,446
DC200,Dublin City University,Common Entry into Engineering (Undenominated Entry),381,444
DC201,Dublin City University,Common Entry into Science (Undenominated Entry),454,477
DC202,Dublin City University,Sport Science and Health,467,476
DC203,Dublin City University,Science Education,424,476
DC204,Dublin City University,Athletic Therapy and Training,484,500
DC205,Dublin City University,Physical Education with Biology,490,521
DC206,Dublin City University,Physical Education with Mathematics,443,476
DC208,Dublin City University,Psychology,509,521
DC209,Dublin City University,Health and Society,419,440
DC215,Dublin City University,General Nursing,414,443
