CATEGORY,COURSE CODE2,COURSE TITLE,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Business and administration,AC120,International Business,209,,,,209,,280,8,American College,,,
Humanities (except languages),AC137,Liberal Arts,252,,,,252,,270,8,American College,,,
Arts,AD101,"First Year Art & Design (Common Entry,portfolio)",#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Arts,AD102,Graphic Design and Moving Image Design (portfolio),#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Arts,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Education,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Arts,AD204,Fine Art (portfolio),#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Arts,AD211,Fashion Design (portfolio),#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Arts,AD212,Product Design (portfolio),#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Arts,AD215,Visual Culture,377,,320,,320,,389,8,National College of Art and Design,,,
Arts,AD217,Illustration (portfolio),#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Information and Communication Technologies (ICTs),AD222,Interaction Design (portfolio),#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
Information and Communication Technologies (ICTs),AL600,Software Design,AQA,,,,104,,279,6,Athlone Institute of Technology,,,
Engineering and engineering trades,AL601,Computer Engineering,AQA,,219,,112,,192,6,Athlone Institute of Technology,,avp,v
Engineering and engineering trades,AL602,Mechanical Engineering,AQA,,,,260,,424,6,Athlone Institute of Technology,,,
Architecture and construction,AL604,Civil Engineering,AQA,,AQA,,AQA,,244,6,Athlone Institute of Technology,,,
Engineering and engineering trades,AL605,Music and Instrument Technology,AQA,,AQA,,154,,306,6,Athlone Institute of Technology,,avp,
Health,AL630,Pharmacy Technician,295,,,,295,,379,6,Athlone Institute of Technology,,,
Health,AL631,Dental Nursing,300,,298,,298,,388,6,Athlone Institute of Technology,,,
Biological and related sciences,AL632,Applied Science,234,,,,234,,434,6,Athlone Institute of Technology,,,
Business and administration,AL650,Business,207,,,,207,,326,6,Athlone Institute of Technology,,,
Personal services,AL660,Culinary Arts,AQA,,AQA,,112,,270,6,Athlone Institute of Technology,,avp,
Personal services,AL661,Bar Supervision,AQA,,AQA,,101,,241,6,Athlone Institute of Technology,,avp,v
Personal services,AL663,Business (Sport and Recreation),AQA,,AQA,,120,,262,6,Athlone Institute of Technology,,avp,
Information and Communication Technologies (ICTs),AL701,Computer Engineering with Network Infrastructure,216,,,,216,,337,7,Athlone Institute of Technology,,,
