COURSE CODE2,COURSE TITLE,HEI,CATEGORY (i.e.ISCED description),R1 POINTS
AC120,International Business,American College,Business and administration,209
AC137,Liberal Arts,American College,Humanities (except languages),252
AD101,"First Year Art & Design (Common Entry,portfolio)",National College of Art and Design,Arts,#+matric
AD102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,Arts,#+matric
AD103,Textile & Surface Design and Jewellery & Objects (portfolio),National College of Art and Design,Arts,#+matric
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,Education,#+matric
AD204,Fine Art (portfolio),National College of Art and Design,Arts,#+matric
AD211,Fashion Design (portfolio),National College of Art and Design,Arts,#+matric
AD212,Product Design (portfolio),National College of Art and Design,Arts,#+matric
AD215,Visual Culture,National College of Art and Design,Arts,377
AD217,Illustration (portfolio),National College of Art and Design,Arts,#+matric
AD222,Interaction Design (portfolio),National College of Art and Design,Information and Communication Technologies (ICTs),#+matric
AL801,Software Design with Virtual Reality and Gaming,Athlone Institute of Technology,Information and Communication Technologies (ICTs),303
AL802,Software Design with Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,Information and Communication Technologies (ICTs),332
AL803,Software Design with Mobile Apps and Connected Devices,Athlone Institute of Technology,Information and Communication Technologies (ICTs),337
AL805,Computer Engineering with Network Infrastructure,Athlone Institute of Technology,Information and Communication Technologies (ICTs),333
AL810,Quantity Surveying,Athlone Institute of Technology,Architecture and construction,319
AL811,Civil Engineering,Athlone Institute of Technology,Architecture and construction,320
AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,Manufacturing and processing,308
AL830,General Nursing,Athlone Institute of Technology,Health,442
AL832,Psychiatric Nursing,Athlone Institute of Technology,Health,387
AL836,Nutrition and Health Science,Athlone Institute of Technology,Health,334
AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,Personal services,351
AL838,Biotechnology,Athlone Institute of Technology,Biological and related sciences,307
AL839,Microbiology,Athlone Institute of Technology,Biological and related sciences,325
AL840,Pharmaceutical Sciences,Athlone Institute of Technology,Physical sciences,347
AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,Health,430
AL842,Bioveterinary Science,Athlone Institute of Technology,Biological and related sciences,313
AL843,Physical Activity and Health Science,Athlone Institute of Technology,Health,306
AL850,Business,Athlone Institute of Technology,Business and administration,309
AL851,Business and Law,Athlone Institute of Technology,Law,295
AL852,Accounting,Athlone Institute of Technology,Business and administration,309
AL854,Sport Management (with international placement),Athlone Institute of Technology,Personal services,302
AL855,Hospitality Management (with international placement),Athlone Institute of Technology,Personal services,308
AL857,Digital Marketing,Athlone Institute of Technology,Business and administration,304
AL860,Social Care Practice,Athlone Institute of Technology,Welfare,300
AL861,Animation and Illustration (portfolio),Athlone Institute of Technology,Arts,578
AL863,Graphic and Digital Design (portfolio),Athlone Institute of Technology,Arts,781
AL864,Early Years Care and Education,Athlone Institute of Technology,Welfare,307
AL870,Applied Psychology,Athlone Institute of Technology,Social and behavioural sciences,418
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",St. Angela`s College,Education,510
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",St. Angela`s College,Education,441
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",St. Angela`s College,Education,440
AS051,"Nutrition, Food and Business Management",St. Angela`s College,Business and administration,328
AS054,Home Economics,St. Angela`s College,Biological and related sciences,408
AS110,General Nursing,St. Angela`s College,Health,419
AS130,Intellectual Disability Nursing,St. Angela`s College,Health,336
CI110,Counselling and Psychotherapy,Irish College of Humanities & Applied Sciences,Welfare,310
CI111,Counselling and Addiction Studies,Irish College of Humanities & Applied Sciences,Welfare,301
CI112,Counselling and Youth Studies,Irish College of Humanities & Applied Sciences,Welfare,311
CK101,Arts - 3 years,University College Cork (NUI),Arts,300
CK102,Social Science,University College Cork (NUI),Social and behavioural sciences,412
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),University College Cork (NUI),Arts,302
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),University College Cork (NUI),Arts,368
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),University College Cork (NUI),Humanities (except languages),328
CK108,Arts International - 4 years,University College Cork (NUI),Languages,401
CK109,English - 3 years or 4 years (International Pathway),University College Cork (NUI),Languages,318
CK110,World Languages,University College Cork (NUI),Languages,452
CK111,Early Years and Childhood Studies,University College Cork (NUI),Welfare,419
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),University College Cork (NUI),Arts,330
CK113,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),Social and behavioural sciences,423
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),University College Cork (NUI),Arts,336
CK120,Applied Psychology,University College Cork (NUI),Social and behavioural sciences,533
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),University College Cork (NUI),Social and behavioural sciences,466
CK122,Government and Political Science,University College Cork (NUI),Social and behavioural sciences,337
CK123,Anthropology,University College Cork (NUI),Humanities (except languages),308
CK124,Education - Gaeilge,University College Cork (NUI),Education,463
CK125,Sports Studies and Physical Education,University College Cork (NUI),Education,510
CK201,Commerce,University College Cork (NUI),Business and administration,477
CK202,Accounting,University College Cork (NUI),Business and administration,509
CK203,Business Information Systems,University College Cork (NUI),Information and Communication Technologies (ICTs),430
CK204,Finance,University College Cork (NUI),Business and administration,556
