Course Code,Course Title,HEI,CATEGORY (ISCED Description),R1 Points
AL801,Software Design for Virtual Reality and Gaming,Athlone Institute of Technology,Information and Communication Technologies (ICTs),300
AL802,Software Design in Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,Information and Communication Technologies (ICTs),313
AL803,Software Design for Mobile Apps and Connected Devices,Athlone Institute of Technology,Information and Communication Technologies (ICTs),350
AL805,Computer Engineering for Network Infrastructure,Athlone Institute of Technology,Information and Communication Technologies (ICTs),321
AL810,Quantity Surveying,Athlone Institute of Technology,Architecture and construction,328
AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,Manufacturing and processing,327
AL830,General Nursing,Athlone Institute of Technology,Health,451
AL832,Mental Health Nursing,Athlone Institute of Technology,Health,440
AL835,Pharmacology,Athlone Institute of Technology,Biological and related sciences,356
AL836,Nutrition and Health Science,Athlone Institute of Technology,Health,346
AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,Personal services,357
AL838,Biotechnology,Athlone Institute of Technology,Biological and related sciences,324
AL839,Microbiology,Athlone Institute of Technology,Biological and related sciences,325
AL840,Pharmaceutical Sciences,Athlone Institute of Technology,Physical sciences,346
AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,Health,477
AL842,Bioveterinary Science,Athlone Institute of Technology,Biological and related sciences,338
AL843,Physical Activity and Health Science,Athlone Institute of Technology,Health,306
AL849,Culinary Entrepreneurship,Athlone Institute of Technology,Personal services,297
AL850,Business,Athlone Institute of Technology,Business and administration,309
AL851,Business and Law,Athlone Institute of Technology,Law,302
AL852,Accounting,Athlone Institute of Technology,Business and administration,336
AL854,Sport Management (with international placement),Athlone Institute of Technology,Personal services,300
AL855,Hospitality Management (with international placement),Athlone Institute of Technology,Personal services,309
AL857,Digital Marketing,Athlone Institute of Technology,Business and administration,304
AL859,International Business,Athlone Institute of Technology,Business and administration,308
AL860,Social Care Practice,Athlone Institute of Technology,Welfare,301
AL861,Animation and Illustration (portfolio),Athlone Institute of Technology,Arts,575
AL863,Graphic and Digital Design (portfolio),Athlone Institute of Technology,Arts,747
AL864,Early Years Care and Education,Athlone Institute of Technology,Welfare,306
AL870,Applied Psychology,Athlone Institute of Technology,Social and behavioural sciences,484
CW018,Business (options),"Institute of Technology, Carlow",Business and administration,307
CW028,Early Childhood Education and Care,"Institute of Technology, Carlow",Welfare,260
CW038,Art (portfolio),"Institute of Technology, Carlow",Arts,#700
CW058,Tourism and Event Management,"Institute of Technology, Carlow",Personal services,292
CW068,Applied Social Studies in Professional Social Care,"Institute of Technology, Carlow",Welfare,250
CW078,Sustainable Farm Management and Agribusiness,"Institute of Technology, Carlow",Agriculture,270
CW088,Visual Communications and Design,"Institute of Technology, Carlow",Arts,270
CW108,Science (options),"Institute of Technology, Carlow",Biological and related sciences,266
CW128,Brewing and Distilling,"Institute of Technology, Carlow",Manufacturing and processing,307
CW138,Sport and Exercise Science,"Institute of Technology, Carlow",Personal services,430
CW148,Strength and Conditioning,"Institute of Technology, Carlow",Personal services,388
CW188,Sport Rehabilitation and Athletic Therapy,"Institute of Technology, Carlow",Health,451
CW208,Computer Games Development,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),272
CW238,Software Development,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),295
CW248,Information Technology Management,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),293
CW258,Cybercrime and IT Security,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),292
CW268,Computing in Interactive Digital Art and Design,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),291
CW438,Construction (options),"Institute of Technology, Carlow",Architecture and construction,260
CW468,Architectural Technology,"Institute of Technology, Carlow",Architecture and construction,291
CW478,Civil Engineering,"Institute of Technology, Carlow",Architecture and construction,465
CW548,Mechanical Engineering,"Institute of Technology, Carlow",Engineering and engineering trades,330
CW558,Electronic Systems,"Institute of Technology, Carlow",Engineering and engineering trades,280
CW568,Aerospace Engineering,"Institute of Technology, Carlow",Engineering and engineering trades,371
CW578,TV and Media Production,"Institute of Technology, Carlow",Arts,318
CW708,Law - LLB,"Institute of Technology, Carlow",Law,292
CW728,Product Design Innovation,"Institute of Technology, Carlow",Arts,246
CW748,Early Childhood Education and Care,"Institute of Technology, Carlow",Welfare,290
CW758,Professional Social Care Practice,"Institute of Technology, Carlow",Welfare,360
CW808,Media and Public Relations,"Institute of Technology, Carlow",Business and administration,247
CW848,Digital Marketing with Analytics,"Institute of Technology, Carlow",Business and administration,269
CW858,"Sports Management and Coaching (options, portfolio)","Institute of Technology, Carlow",Personal services,700
CW908,Business (options),"Institute of Technology, Carlow",Business and administration,272
CW938,Business with Law,"Institute of Technology, Carlow",Business and administration,270
CW948,Accounting,"Institute of Technology, Carlow",Business and administration,319
PC405,"Social, Political and Community Studies","Carlow College, St. Patrick`s",Social and behavioural sciences,263
PC410,Arts and Humanities (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",Humanities (except languages),262
PC411,English and History (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",Humanities (except languages),243
CR105,Chemical and Biopharmaceutical Engineering,Cork Institute of Technology,Engineering and engineering trades,443
CR106,Software Development,Cork Institute of Technology,Information and Communication Technologies (ICTs),431
CR108,Mechanical Engineering,Cork Institute of Technology,Engineering and engineering trades,434
CR109,Structural Engineering,Cork Institute of Technology,Architecture and construction,396
CR110,Automotive Business Management and Technology,Cork Institute of Technology,Transport services,336
CR112,Creative Digital Media at CIT Crawford College of Art and Design,Cork Institute of Technology,Arts,390
CR116,Computer Systems,Cork Institute of Technology,Information and Communication Technologies (ICTs),365
CR121,Music at CIT Cork School of Music,Cork Institute of Technology,Arts,904
CR125,Popular Music at CIT Cork School of Music,Cork Institute of Technology,Arts,1028
CR130,Musical Theatre at CIT Cork School of Music,Cork Institute of Technology,Arts,525
CR150,Business Information Systems,Cork Institute of Technology,Business and administration,350
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",Cork Institute of Technology,Arts,450
CR220,Fine Art at CIT Crawford College of Art and Design,Cork Institute of Technology,Arts,400
CR225,Photography with New Media at CIT Crawford College of Art and Design,Cork Institute of Technology,Arts,435
CR305,Physical Sciences (Common Entry),Cork Institute of Technology,Physical sciences,260
CR310,IT Management,Cork Institute of Technology,Information and Communication Technologies (ICTs),347
CR320,Biomedical Science - Offered jointly by CIT and UCC,Cork Institute of Technology,Biological and related sciences,590
CR325,Pharmaceutical Biotechnology,Cork Institute of Technology,Biological and related sciences,466
CR333,Nutrition and Health Science,Cork Institute of Technology,Health,425
CR335,Biological Sciences (Common Entry),Cork Institute of Technology,Biological and related sciences,473
CR340,Analytical Chemistry with Quality Assurance,Cork Institute of Technology,Physical sciences,327
CR360,Instrument Engineering,Cork Institute of Technology,Physical sciences,301
CR365,Environmental Science and Sustainable Technology,Cork Institute of Technology,Environment,262
CR370,Agri-Biosciences,Cork Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",368
CR400,Accounting,Cork Institute of Technology,Business and administration,315
CR420,Marketing,Cork Institute of Technology,Business and administration,290
CR425,International Business with Language,Cork Institute of Technology,Business and administration,279
CR430,Sport and Exercise Management,Cork Institute of Technology,Personal services,402
CR440,Montessori Education,Cork Institute of Technology,Education,409
CR500,Engineering (Common Entry),Cork Institute of Technology,Engineering and engineering trades,475
CR510,Sustainable Energy Engineering,Cork Institute of Technology,Environment,320
CR520,Biomedical Engineering,Cork Institute of Technology,Health,444
CR560,Architectural Technology,Cork Institute of Technology,Architecture and construction,375
CR565,Interior Architecture,Cork Institute of Technology,Architecture and construction,431
CR570,Quantity Surveying,Cork Institute of Technology,Architecture and construction,375
CR572,Construction Management,Cork Institute of Technology,Architecture and construction,300
CR580,Electrical Engineering,Cork Institute of Technology,Engineering and engineering trades,342
CR590,Electronic Engineering,Cork Institute of Technology,Engineering and engineering trades,329
CR600,Visual Communications at CIT Crawford College of Art and Design,Cork Institute of Technology,Arts,280
CR660,Tourism Management,Cork Institute of Technology,Personal services,246
CR700,Theatre and Drama Studies at CIT Cork School of Music,Cork Institute of Technology,Arts,609
CR930,Home Economics and Business,Cork Institute of Technology,Education,518
CK101,Arts - 3 years,University College Cork (NUI),Arts,300
CK102,Social Science,University College Cork (NUI),Social and behavioural sciences,434
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),University College Cork (NUI),Arts,339
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),University College Cork (NUI),Arts,421
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),University College Cork (NUI),Humanities (except languages),312
CK108,Arts International - 4 years,University College Cork (NUI),Languages,440
CK109,English - 3 years or 4 years (International Pathway),University College Cork (NUI),Languages,367
CK110,World Languages,University College Cork (NUI),Languages,488
CK111,Early Years and Childhood Studies,University College Cork (NUI),Welfare,409
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),University College Cork (NUI),Arts,371
CK113,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),Social and behavioural sciences,464
CK114,Social Science (Youth and Community Work),University College Cork (NUI),Welfare,#
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),University College Cork (NUI),Arts,347
CK120,Applied Psychology,University College Cork (NUI),Social and behavioural sciences,544
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),University College Cork (NUI),Social and behavioural sciences,499
CK122,Government and Political Science,University College Cork (NUI),Social and behavioural sciences,399
CK123,Anthropology,University College Cork (NUI),Humanities (except languages),308
CK124,Education - Gaeilge,University College Cork (NUI),Education,473
