CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
Engineering and engineering trades,Music and Instrument Technology,AL605,211,,,,211,,319,6,Athlone Institute of Technology,,,
Health,Pharmacy Technician,AL630,308,,,,308,,409,6,Athlone Institute of Technology,,,
Health,Dental Nursing,AL631,311,,,,311,,400,6,Athlone Institute of Technology,,,
Biological and related sciences,Applied Science,AL632,297,,,,297,,454,6,Athlone Institute of Technology,,,
Business and administration,Business,AL650,AQA,,AQA,,AQA,,351,6,Athlone Institute of Technology,,avp,
Personal services,Culinary Arts,AL660,AQA,,AQA,,AQA,,271,6,Athlone Institute of Technology,,avp,
Personal services,Bar Supervision,AL661,AQA,,,,153,,279,6,Athlone Institute of Technology,,avp,
Personal services,Business (Sport and Recreation),AL663,AQA,,AQA,,AQA,,311,6,Athlone Institute of Technology,,avp,
Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,AL701,207,,,,207,,382,7,Athlone Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Cloud Computing,AL702,220,,,,220,,381,7,Athlone Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,AL703,211,,,,211,,349,7,Athlone Institute of Technology,,,
Information and Communication Technologies (ICTs),Computer Engineering,AL704,210,,,,210,,368,7,Athlone Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devices,AL705,250,,,,250,,323,7,Athlone Institute of Technology,,,
Engineering and engineering trades,Mechanical Engineering,AL710,243,,,,243,,340,7,Athlone Institute of Technology,,,
Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,238,,,,238,,389,7,Athlone Institute of Technology,,,
Engineering and engineering trades,Automation and Robotics,AL712,247,,,,247,,434,7,Athlone Institute of Technology,,,
Engineering and engineering trades,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),AL713,226,,,,226,,387,7,Athlone Institute of Technology,,,
Engineering and engineering trades,Music and Sound Engineering,AL718,242,,,,242,,363,7,Athlone Institute of Technology,,,
Architecture and construction,Civil Engineering,AL721,242,,,,242,,409,7,Athlone Institute of Technology,,,
Biological and related sciences,Biotechnology,AL730,261,,,,261,,444,7,Athlone Institute of Technology,,,
Veterinary,Veterinary Nursing,AL731,421,,,,421,,498,7,Athlone Institute of Technology,,,
Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244,,,,244,,403,7,Athlone Institute of Technology,,,
Personal services,Exercise and Health Science,AL740,251,,,,251,,418,7,Athlone Institute of Technology,,,
Business and administration,Digital Marketing,AL751,241,,,,241,,398,7,Athlone Institute of Technology,,,
Business and administration,Business,AL752,223,,,,223,,412,7,Athlone Institute of Technology,,,
Personal services,Hotel and Leisure Management,AL761,AQA,,AQA,,AQA,,306,7,Athlone Institute of Technology,,avp,
Arts,Graphic Design (portfolio),AL763,642,,,,642,,811,7,Athlone Institute of Technology,#,,
Welfare,Early Years Care and Education,AL764,260,,,,260,,408,7,Athlone Institute of Technology,,,
Welfare,Applied Social Studies in Social Care,AL765,300,,,,300,,386,7,Athlone Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,AL801,300,,,,300,,359,8,Athlone Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Cloud Computing,AL802,313,,,,313,,381,8,Athlone Institute of Technology,,,
Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devices,AL803,350,,,,350,,398,8,Athlone Institute of Technology,,,
Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,AL805,321,,,,321,,381,8,Athlone Institute of Technology,,,
Architecture and construction,Quantity Surveying,AL810,328,,,,328,,377,8,Athlone Institute of Technology,,,
Architecture and construction,Civil Engineering,AL811,,,,,,,0,8,Athlone Institute of Technology,,,
Manufacturing and processing,Mechanical and Polymer Engineering,AL820,327,,,,327,,398,8,Athlone Institute of Technology,,,
Health,General Nursing,AL830,451,*,444,,440,,455,8,Athlone Institute of Technology,,,
Health,Mental Health Nursing,AL832,440,*,431,,431,,451,8,Athlone Institute of Technology,,,
Biological and related sciences,Pharmacology,AL835,356,,,,356,,429,8,Athlone Institute of Technology,,,
Health,Nutrition and Health Science,AL836,346,,,,346,,398,8,Athlone Institute of Technology,,,
Personal services,Sports Science with Exercise Physiology,AL837,357,,,,357,,409,8,Athlone Institute of Technology,,,
Biological and related sciences,Biotechnology,AL838,324,,,,324,,434,8,Athlone Institute of Technology,,,
Biological and related sciences,Microbiology,AL839,325,,,,325,,408,8,Athlone Institute of Technology,,,
Physical sciences,Pharmaceutical Sciences,AL840,346,,,,346,,402,8,Athlone Institute of Technology,,,
Health,Athletic and Rehabilitation Therapy,AL841,477,,476,*,462,,489,8,Athlone Institute of Technology,,,
Biological and related sciences,Bioveterinary Science,AL842,338,,,,338,,413,8,Athlone Institute of Technology,,,
