HEI,ISCED,2019,2020,2021,diff19_21,diff%
"Dun Laoghaire Institute of Art, Design and Technology",Information and Communication Technologies (ICTs),217.0,451.0,496.0,279.0,128.57142857142858
National College of Art and Design,Arts,300.0,377.0,544.875,244.875,81.625
"Institute of Technology, Tralee",Arts,293.5,303.0,520.0,226.5,77.17206132879046
Galway-Mayo Institute of Technology,Arts,279.4,392.5,437.1666666666667,157.7666666666667,56.466237174898616
University College Dublin (NUI),Agriculture,361.3333333333333,394.6666666666667,531.0,169.66666666666669,46.95571955719558
Limerick Institute of Technology,Health,282.0,294.0,391.0,109.0,38.652482269503544
Technological University Dublin,Arts,333.8333333333333,464.42857142857144,460.6923076923077,126.85897435897436,38.00069127078613
"Carlow College, St. Patrick`s",Humanities (except languages),185.5,253.5,252.5,67.0,36.118598382749326
Technological University Dublin,Environment,236.0,292.0,314.0,78.0,33.05084745762712
Limerick Institute of Technology,Physical sciences,285.5,337.5,375.0,89.5,31.34851138353765
"Institute of Technology, Sligo",Arts,298.3333333333333,371.6666666666667,391.3333333333333,93.0,31.1731843575419
Cork Institute of Technology,Personal services,249.0,287.0,324.0,75.0,30.120481927710845
Galway-Mayo Institute of Technology,Manufacturing and processing,225.0,257.5,285.5,60.5,26.88888888888889
University College Dublin (NUI),Environment,403.0,429.0,510.0,107.0,26.550868486352357
Dublin City University,Engineering and engineering trades,394.25,417.75,497.25,103.0,26.12555485098288
American College,Business and administration,234.0,209.0,294.0,60.0,25.64102564102564
University College Dublin (NUI),"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",361.5,383.5,454.0,92.5,25.587828492392806
Technological University Dublin,Biological and related sciences,370.7142857142857,421.57142857142856,465.2857142857143,94.57142857142856,25.510597302504813
Cork Institute of Technology,Architecture and construction,299.4,333.2,375.4,76.0,25.384101536406146
Limerick Institute of Technology,Social and behavioural sciences,217.0,235.0,272.0,55.0,25.34562211981567
"Institute of Technology, Sligo",Architecture and construction,286.3333333333333,338.6,358.6,72.26666666666671,25.238649592549496
Dundalk Institute of Technology,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",300.0,358.0,373.0,73.0,24.333333333333336
Griffith College,Information and Communication Technologies (ICTs),222.5,293.5,275.5,53.0,23.820224719101123
Trinity College Dublin,Arts,451.5,459.8059701492537,555.3333333333334,103.83333333333337,22.997416020671842
Technological University Dublin,Welfare,262.8,306.5,323.0,60.19999999999999,22.907153729071535
University of Limerick,Architecture and construction,393.5,448.0,483.0,89.5,22.744599745870396
University College Dublin (NUI),Architecture and construction,397.6666666666667,441.3333333333333,487.6666666666667,90.0,22.632020117351214
"Institute of Technology, Tralee",Architecture and construction,300.0,325.0,361.0,61.0,20.333333333333332
Cork Institute of Technology,Information and Communication Technologies (ICTs),317.0,346.6666666666667,381.0,64.0,20.189274447949526
"Dun Laoghaire Institute of Art, Design and Technology",Social and behavioural sciences,349.0,379.0,418.0,69.0,19.770773638968482
Technological University Dublin,Architecture and construction,350.1666666666667,398.0,418.85714285714283,68.69047619047615,19.616509145304946
Galway-Mayo Institute of Technology,Biological and related sciences,327.0,351.0,390.0,63.0,19.26605504587156
Galway-Mayo Institute of Technology,Architecture and construction,265.25,275.75,316.0,50.75,19.132893496701225
"Dun Laoghaire Institute of Art, Design and Technology",Humanities (except languages),250.5,206.5,298.0,47.5,18.962075848303392
University of Limerick,Health,367.2857142857143,402.7142857142857,436.85714285714283,69.57142857142856,18.94204589653831
"National University of Ireland, Galway",Social and behavioural sciences,378.7142857142857,388.42857142857144,449.6,70.8857142857143,18.717465107506605
Athlone Institute of Technology,Social and behavioural sciences,409.0,418.0,484.0,75.0,18.337408312958438
Trinity College Dublin,Welfare,420.0,462.0,497.0,77.0,18.333333333333332
"National University of Ireland, Galway",Journalism and information,410.0,400.0,484.0,74.0,18.048780487804876
University College Cork (NUI),Law,478.25,536.25,563.75,85.5,17.877679038159958
Dundalk Institute of Technology,Engineering and engineering trades,303.0,316.3333333333333,357.0,54.0,17.82178217821782
Trinity College Dublin,Humanities (except languages),427.42857142857144,438.875,501.14285714285717,73.71428571428572,17.245989304812838
Griffith College,Arts,267.0,295.5,313.0,46.0,17.228464419475657
Letterkenny Institute of Technology,Health,305.5,340.75,358.0,52.5,17.18494271685761
"National University of Ireland, Galway",Languages,372.6666666666667,384.0,436.0,63.333333333333314,16.994633273703037
Waterford Institute of Technology,Social and behavioural sciences,390.0,434.0,456.0,66.0,16.923076923076923
St. Angela`s College,Health,354.0,377.5,413.5,59.5,16.807909604519775
University College Cork (NUI),Architecture and construction,465.0,484.0,543.0,78.0,16.7741935483871
University College Dublin (NUI),Social and behavioural sciences,427.75,456.75,499.0,71.25,16.656925774400936
"Institute of Technology, Carlow",Architecture and construction,290.3333333333333,322.3333333333333,338.6666666666667,48.33333333333337,16.64753157290472
Dundalk Institute of Technology,Architecture and construction,301.0,375.75,350.5,49.5,16.44518272425249
Cork Institute of Technology,Biological and related sciences,438.3333333333333,461.0,509.6666666666667,71.33333333333337,16.273764258555143
Dublin City University,Information and Communication Technologies (ICTs),395.6666666666667,407.3333333333333,459.6666666666667,64.0,16.175231676495365
Trinity College Dublin,Engineering and engineering trades,493.0,521.0,572.5,79.5,16.12576064908722
University of Limerick,Engineering and engineering trades,434.6666666666667,466.3333333333333,503.3333333333333,68.66666666666663,15.797546012269928
"National University of Ireland, Galway",Mathematics and statistics,455.0,481.5,526.0,71.0,15.604395604395604
Trinity College Dublin,Education,430.0,420.0,496.0,66.0,15.348837209302326
University of Limerick,Biological and related sciences,375.0,390.0,432.5,57.5,15.333333333333332
