Course Code,Institution,INSTITUTION,EOS,Mid,
TR052,Trinity College Dublin,Dental Science,590*,602,590
TR034,Trinity College Dublin,Management Science and Information Systems Studies,589*,602,589
DN440,University College Dublin (NUI),"Biomedical, Health and Life Sciences",565*,579,565
LM100,University of Limerick,Physiotherapy,565*,577,565
TR006,Trinity College Dublin,Psychology,555*,577,555
TR072,Trinity College Dublin,Pharmacy,555*,577,555
TR053,Trinity College Dublin,Physiotherapy,533*,544,533
CK704,University College Cork (NUI),Occupational Therapy,532*,554,532
RC004,Royal College of Surgeons in Ireland,Physiotherapy,532*,542,532
TR012,Trinity College Dublin,History and Political Science,532*,557,532
TR018,Trinity College Dublin,Law and French,532*,554,532
DN600,University College Dublin (NUI),Law (options),520*,532,520
TR081,Trinity College Dublin,"Business, Economic and Social Studies (BESS)",518*,542,518
CK707,University College Cork (NUI),Medical and Health Sciences,510*,543,510
TR060,Trinity College Dublin,Biological and Biomedical Sciences,510*,542,510
TR063,Trinity College Dublin,Physical Sciences,498*,543,498
DN650,University College Dublin (NUI),Commerce,498*,510,498
LM090,University of Limerick,Physical Education with concurrent Teacher Education,498*,520,498
MH001,Maynooth University,Education - Primary Teaching (Froebel),496*,520,496
TR061,Trinity College Dublin,Chemical Sciences,488*,520,488
TR032,Trinity College Dublin,Engineering,487*,520,487
TR911,Trinity College Dublin,Children`s and General Nursing (Integrated),476*,487,476
MI005,Mary Immaculate College,Education - Primary Teaching,473*,506,473
CK201,University College Cork (NUI),Commerce,465*,489,465
TR033,Trinity College Dublin,Computer Science,465*,488,465
DC002,Dublin City University,Education - Primary Teaching,462*,485,462
DN451,University College Dublin (NUI),Children`s and General Nursing (Integrated),462*,499,462
AS001,St. Angela`s College,"Education, Home Economics and Biology - with concurrent Teacher Ed",456*,497,456
CM001,Marino Institute of Education,Education - Primary Teaching,452*,462,452
LM150,University of Limerick,General Nursing,440*,463,440
TR084,Trinity College Dublin,Social Studies (Social Work),420*,462,420
AS002,St. Angela`s College,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400*,433,400
DK877,Dundalk Institute of Technology,Midwifery,398*,441,398
TR091,Trinity College Dublin,General Nursing (Meath and St James`s),393*,420,393
AS110,St. Angela`s College,General Nursing,391*,409,391
GA880,Galway-Mayo Institute of Technology,General Nursing - Mayo Campus,389*,400,389
LM154,University of Limerick,Intellectual Disability Nursing,381*,408,381
TL891,"Institute of Technology, Tralee",Mental Health Nursing and Mature Applicants,367*,379,367
LY918,Letterkenny Institute of Technology,Psychiatric Nursing,291*,332,291
CR210,Cork Institute of Technology,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,979,979
CR125,Cork Institute of Technology,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,1021,972
DL834,"Dun Laoghaire Institute of Art, Design and Technology",Film and Television Production,#933,1011,933
CR225,Cork Institute of Technology,Photography with New Media,#920,920,920
LC114,Limerick Institute of Technology,Fashion and Textiles for Product and Costume (portfolio),#900,988,900
DL831,"Dun Laoghaire Institute of Art, Design and Technology",Design for Stage and Screen (Production Design),#893,1073,893
DL830,"Dun Laoghaire Institute of Art, Design and Technology",Design for Stage and Screen (Makeup Design),#879,953,879
CR126,Cork Institute of Technology,Popular Music: Drums at CIT Cork School of Music,#878,1043,878
CR129,Cork Institute of Technology,Popular Music: Voice at CIT Cork School of Music,#857,927,857
DL832,"Dun Laoghaire Institute of Art, Design and Technology",Animation,#855,1055,855
CR128,Cork Institute of Technology,Popular Music: Keyboards at CIT Cork School of Music,#839,1009,839
LC502,Limerick Institute of Technology,"Game Art and Design (Clonmel, portfolio)",#838,950,838
DL829,"Dun Laoghaire Institute of Art, Design and Technology",Design for Stage and Screen (Costume Design),#817,1021,817
LC518,Limerick Institute of Technology,"Digital Animation Production (Clonmel, portfolio)",#816,962,816
CR700,Cork Institute of Technology,Theatre and Drama Studies at CIT Cork School of Music,#768,906,768
DL838,"Dun Laoghaire Institute of Art, Design and Technology",Creative Music Production,#746,873,746
DL826,"Dun Laoghaire Institute of Art, Design and Technology",Visual Communication Design,#736,989,736
DN400,University College Dublin (NUI),Medicine - Undergraduate Entry (HPAT required),#735,745,735
LC110,Limerick Institute of Technology,"Art and Design (Common Entry, portfolio)",#734,918,734
TR051,Trinity College Dublin,Medicine (HPAT required),#730,739,730
CK701,University College Cork (NUI),Medicine (Undergraduate Entry - HPAT required),#729,740,729
RC001,Royal College of Surgeons in Ireland,Medicine - Undergraduate Entry (HPAT required),#729,733,729
GY501,"National University of Ireland, Galway","Medicine (five year/six year course, HPAT required)",#726*,731,26*
AL863,Athlone Institute of Technology,Graphic and Digital Design (portfolio),#703,898,703
CW038,"Institute of Technology, Carlow","Art (portfolio, Wexford)",#700,700,700
