Course Code,Course Title,HEI Code,HEI,R1 Points,Year,ISCED
AL801,Software Design for Virtual Reality and Gaming,AL,Athlone Institute of Technology,300,2021,Information and Communication Technologies (ICTs)
AL802,Software Design in Artificial Intelligence for Cloud Computing,AL,Athlone Institute of Technology,313,2021,Information and Communication Technologies (ICTs)
AL803,Software Design for Mobile Apps and Connected Devices,AL,Athlone Institute of Technology,350,2021,Information and Communication Technologies (ICTs)
AL805,Computer Engineering for Network Infrastructure,AL,Athlone Institute of Technology,321,2021,Information and Communication Technologies (ICTs)
AL810,Quantity Surveying,AL,Athlone Institute of Technology,328,2021,Architecture and construction
AL820,Mechanical and Polymer Engineering,AL,Athlone Institute of Technology,327,2021,Manufacturing and processing
AL830,General Nursing,AL,Athlone Institute of Technology,451,2021,Health
AL832,Mental Health Nursing,AL,Athlone Institute of Technology,440,2021,Health
AL835,Pharmacology,AL,Athlone Institute of Technology,356,2021,Biological and related sciences
AL836,Nutrition and Health Science,AL,Athlone Institute of Technology,346,2021,Health
AL837,Sports Science with Exercise Physiology,AL,Athlone Institute of Technology,357,2021,Personal services
AL838,Biotechnology,AL,Athlone Institute of Technology,324,2021,Biological and related sciences
AL839,Microbiology,AL,Athlone Institute of Technology,325,2021,Biological and related sciences
AL840,Pharmaceutical Sciences,AL,Athlone Institute of Technology,346,2021,Physical sciences
AL841,Athletic and Rehabilitation Therapy,AL,Athlone Institute of Technology,477,2021,Health
AL842,Bioveterinary Science,AL,Athlone Institute of Technology,338,2021,Biological and related sciences
AL843,Physical Activity and Health Science,AL,Athlone Institute of Technology,306,2021,Health
AL849,Culinary Entrepreneurship,AL,Athlone Institute of Technology,297,2021,Personal services
AL850,Business,AL,Athlone Institute of Technology,309,2021,Business and administration
AL851,Business and Law,AL,Athlone Institute of Technology,302,2021,Law
AL852,Accounting,AL,Athlone Institute of Technology,336,2021,Business and administration
AL854,Sport Management (with international placement),AL,Athlone Institute of Technology,300,2021,Personal services
AL855,Hospitality Management (with international placement),AL,Athlone Institute of Technology,309,2021,Personal services
AL857,Digital Marketing,AL,Athlone Institute of Technology,304,2021,Business and administration
AL859,International Business,AL,Athlone Institute of Technology,308,2021,Business and administration
AL860,Social Care Practice,AL,Athlone Institute of Technology,301,2021,Welfare
AL861,Animation and Illustration (portfolio),AL,Athlone Institute of Technology,575,2021,Arts
AL863,Graphic and Digital Design (portfolio),AL,Athlone Institute of Technology,747,2021,Arts
AL864,Early Years Care and Education,AL,Athlone Institute of Technology,306,2021,Welfare
AL870,Applied Psychology,AL,Athlone Institute of Technology,484,2021,Social and behavioural sciences
CW018,Business (options),CW,"Institute of Technology, Carlow",307,2021,Business and administration
CW028,Early Childhood Education and Care,CW,"Institute of Technology, Carlow",260,2021,Welfare
CW038,Art (portfolio),CW,"Institute of Technology, Carlow",700,2021,Arts
CW058,Tourism and Event Management,CW,"Institute of Technology, Carlow",292,2021,Personal services
CW068,Applied Social Studies in Professional Social Care,CW,"Institute of Technology, Carlow",250,2021,Welfare
CW078,Sustainable Farm Management and Agribusiness,CW,"Institute of Technology, Carlow",270,2021,Agriculture
CW088,Visual Communications and Design,CW,"Institute of Technology, Carlow",270,2021,Arts
CW108,Science (options),CW,"Institute of Technology, Carlow",266,2021,Biological and related sciences
CW128,Brewing and Distilling,CW,"Institute of Technology, Carlow",307,2021,Manufacturing and processing
CW138,Sport and Exercise Science,CW,"Institute of Technology, Carlow",430,2021,Personal services
CW148,Strength and Conditioning,CW,"Institute of Technology, Carlow",388,2021,Personal services
CW188,Sport Rehabilitation and Athletic Therapy,CW,"Institute of Technology, Carlow",451,2021,Health
CW208,Computer Games Development,CW,"Institute of Technology, Carlow",272,2021,Information and Communication Technologies (ICTs)
CW238,Software Development,CW,"Institute of Technology, Carlow",295,2021,Information and Communication Technologies (ICTs)
CW248,Information Technology Management,CW,"Institute of Technology, Carlow",293,2021,Information and Communication Technologies (ICTs)
CW258,Cybercrime and IT Security,CW,"Institute of Technology, Carlow",292,2021,Information and Communication Technologies (ICTs)
CW268,Computing in Interactive Digital Art and Design,CW,"Institute of Technology, Carlow",291,2021,Information and Communication Technologies (ICTs)
CW438,Construction (options),CW,"Institute of Technology, Carlow",260,2021,Architecture and construction
CW468,Architectural Technology,CW,"Institute of Technology, Carlow",291,2021,Architecture and construction
CW478,Civil Engineering,CW,"Institute of Technology, Carlow",465,2021,Architecture and construction
CW548,Mechanical Engineering,CW,"Institute of Technology, Carlow",330,2021,Engineering and engineering trades
CW558,Electronic Systems,CW,"Institute of Technology, Carlow",280,2021,Engineering and engineering trades
CW568,Aerospace Engineering,CW,"Institute of Technology, Carlow",371,2021,Engineering and engineering trades
CW578,TV and Media Production,CW,"Institute of Technology, Carlow",318,2021,Arts
CW708,Law - LLB,CW,"Institute of Technology, Carlow",292,2021,Law
CW728,Product Design Innovation,CW,"Institute of Technology, Carlow",246,2021,Arts
CW748,Early Childhood Education and Care,CW,"Institute of Technology, Carlow",290,2021,Welfare
CW758,Professional Social Care Practice,CW,"Institute of Technology, Carlow",360,2021,Welfare
CW808,Media and Public Relations,CW,"Institute of Technology, Carlow",247,2021,Business and administration
CW848,Digital Marketing with Analytics,CW,"Institute of Technology, Carlow",269,2021,Business and administration
CW858,"Sports Management and Coaching (options, portfolio)",CW,"Institute of Technology, Carlow",700,2021,Personal services
CW908,Business (options),CW,"Institute of Technology, Carlow",272,2021,Business and administration
CW938,Business with Law,CW,"Institute of Technology, Carlow",270,2021,Business and administration
CW948,Accounting,CW,"Institute of Technology, Carlow",319,2021,Business and administration
PC405,"Social, Political and Community Studies",PC,"Carlow College, St. Patrick`s",263,2021,Social and behavioural sciences
PC410,Arts and Humanities (fulfils Teaching Council requirements),PC,"Carlow College, St. Patrick`s",262,2021,Humanities (except languages)
PC411,English and History (fulfils Teaching Council requirements),PC,"Carlow College, St. Patrick`s",243,2021,Humanities (except languages)
CR105,Chemical and Biopharmaceutical Engineering,CR,Cork Institute of Technology,443,2021,Engineering and engineering trades
CR106,Software Development,CR,Cork Institute of Technology,431,2021,Information and Communication Technologies (ICTs)
CR108,Mechanical Engineering,CR,Cork Institute of Technology,434,2021,Engineering and engineering trades
CR109,Structural Engineering,CR,Cork Institute of Technology,396,2021,Architecture and construction
CR110,Automotive Business Management and Technology,CR,Cork Institute of Technology,336,2021,Transport services
CR112,Creative Digital Media at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,390,2021,Arts
CR116,Computer Systems,CR,Cork Institute of Technology,365,2021,Information and Communication Technologies (ICTs)
CR121,Music at CIT Cork School of Music,CR,Cork Institute of Technology,904,2021,Arts
CR125,Popular Music at CIT Cork School of Music,CR,Cork Institute of Technology,1028,2021,Arts
CR130,Musical Theatre at CIT Cork School of Music,CR,Cork Institute of Technology,525,2021,Arts
CR150,Business Information Systems,CR,Cork Institute of Technology,350,2021,Business and administration
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR,Cork Institute of Technology,450,2021,Arts
CR220,Fine Art at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,400,2021,Arts
CR225,Photography with New Media at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,435,2021,Arts
CR305,Physical Sciences (Common Entry),CR,Cork Institute of Technology,260,2021,Physical sciences
CR310,IT Management,CR,Cork Institute of Technology,347,2021,Information and Communication Technologies (ICTs)
CR320,Biomedical Science - Offered jointly by CIT and UCC,CR,Cork Institute of Technology,590,2021,Biological and related sciences
CR325,Pharmaceutical Biotechnology,CR,Cork Institute of Technology,466,2021,Biological and related sciences
CR333,Nutrition and Health Science,CR,Cork Institute of Technology,425,2021,Health
CR335,Biological Sciences (Common Entry),CR,Cork Institute of Technology,473,2021,Biological and related sciences
CR340,Analytical Chemistry with Quality Assurance,CR,Cork Institute of Technology,327,2021,Physical sciences
CR360,Instrument Engineering,CR,Cork Institute of Technology,301,2021,Physical sciences
CR365,Environmental Science and Sustainable Technology,CR,Cork Institute of Technology,262,2021,Environment
CR370,Agri-Biosciences,CR,Cork Institute of Technology,368,2021,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
CR400,Accounting,CR,Cork Institute of Technology,315,2021,Business and administration
CR420,Marketing,CR,Cork Institute of Technology,290,2021,Business and administration
CR425,International Business with Language,CR,Cork Institute of Technology,279,2021,Business and administration
CR430,Sport and Exercise Management,CR,Cork Institute of Technology,402,2021,Personal services
CR440,Montessori Education,CR,Cork Institute of Technology,409,2021,Education
CR500,Engineering (Common Entry),CR,Cork Institute of Technology,475,2021,Engineering and engineering trades
CR510,Sustainable Energy Engineering,CR,Cork Institute of Technology,320,2021,Environment
CR520,Biomedical Engineering,CR,Cork Institute of Technology,444,2021,Health
CR560,Architectural Technology,CR,Cork Institute of Technology,375,2021,Architecture and construction
CR565,Interior Architecture,CR,Cork Institute of Technology,431,2021,Architecture and construction
CR570,Quantity Surveying,CR,Cork Institute of Technology,375,2021,Architecture and construction
CR572,Construction Management,CR,Cork Institute of Technology,300,2021,Architecture and construction
CR580,Electrical Engineering,CR,Cork Institute of Technology,342,2021,Engineering and engineering trades
CR590,Electronic Engineering,CR,Cork Institute of Technology,329,2021,Engineering and engineering trades
CR600,Visual Communications at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,280,2021,Arts
CR660,Tourism Management,CR,Cork Institute of Technology,246,2021,Personal services
CR700,Theatre and Drama Studies at CIT Cork School of Music,CR,Cork Institute of Technology,609,2021,Arts
CR930,Home Economics and Business,CR,Cork Institute of Technology,518,2021,Education
CK101,Arts - 3 years,CK,University College Cork (NUI),300,2021,Arts
CK102,Social Science,CK,University College Cork (NUI),434,2021,Social and behavioural sciences
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK,University College Cork (NUI),339,2021,Arts
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),421,2021,Arts
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),312,2021,Humanities (except languages)
CK108,Arts International - 4 years,CK,University College Cork (NUI),440,2021,Languages
CK109,English - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),367,2021,Languages
CK110,World Languages,CK,University College Cork (NUI),488,2021,Languages
CK111,Early Years and Childhood Studies,CK,University College Cork (NUI),409,2021,Welfare
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),371,2021,Arts
CK113,Criminology - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),464,2021,Social and behavioural sciences
CK114,Social Science (Youth and Community Work),CK,University College Cork (NUI),,2021,Welfare
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK,University College Cork (NUI),347,2021,Arts
CK120,Applied Psychology,CK,University College Cork (NUI),544,2021,Social and behavioural sciences
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK,University College Cork (NUI),499,2021,Social and behavioural sciences
CK122,Government and Political Science,CK,University College Cork (NUI),399,2021,Social and behavioural sciences
CK123,Anthropology,CK,University College Cork (NUI),308,2021,Humanities (except languages)
CK124,Education - Gaeilge,CK,University College Cork (NUI),473,2021,Education
CK125,Sports Studies and Physical Education,CK,University College Cork (NUI),564,2021,Education
CK201,Commerce,CK,University College Cork (NUI),500,2021,Business and administration
CK202,Accounting,CK,University College Cork (NUI),553,2021,Business and administration
CK203,Business Information Systems,CK,University College Cork (NUI),455,2021,Information and Communication Technologies (ICTs)
CK204,Finance,CK,University College Cork (NUI),566,2021,Business and administration
CK205,Commerce (International) with French,CK,University College Cork (NUI),465,2021,Business and administration
CK206,Commerce (International) with German,CK,University College Cork (NUI),466,2021,Business and administration
CK207,Commerce (International) with Italian,CK,University College Cork (NUI),423,2021,Business and administration
CK208,Commerce (International) with Hispanic Studies,CK,University College Cork (NUI),488,2021,Business and administration
CK209,Commerce (International) with Irish,CK,University College Cork (NUI),507,2021,Business and administration
CK211,Commerce (International) with Chinese Studies,CK,University College Cork (NUI),385,2021,Business and administration
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK,University College Cork (NUI),445,2021,Social and behavioural sciences
CK213,Food Marketing and Entrepreneurship,CK,University College Cork (NUI),466,2021,Business and administration
CK214,International Development,CK,University College Cork (NUI),332,2021,Social and behavioural sciences
CK301,Law (Pathways) -  3 or 4 years,CK,University College Cork (NUI),533,2021,Law
CK302,Law and French,CK,University College Cork (NUI),545,2021,Law
CK304,Law and Irish,CK,University College Cork (NUI),588,2021,Law
CK307,Law and Business,CK,University College Cork (NUI),589,2021,Law
CK401,Computer Science,CK,University College Cork (NUI),503,2021,Information and Communication Technologies (ICTs)
CK402,Biological and Chemical Sciences,CK,University College Cork (NUI),555,2021,Biological and related sciences
CK404,"Biological, Earth and Environmental Sciences",CK,University College Cork (NUI),500,2021,Biological and related sciences
CK405,Genetics,CK,University College Cork (NUI),543,2021,Biological and related sciences
CK406,Chemical Sciences,CK,University College Cork (NUI),532,2021,Physical sciences
CK407,Mathematical Sciences,CK,University College Cork (NUI),566,2021,Mathematics and statistics
CK408,Physics and Astrophysics,CK,University College Cork (NUI),566,2021,Physical sciences
CK409,Industrial Physics - Offered jointly by UCC and CIT,CK,University College Cork (NUI),465,2021,Physical sciences
CK411,Data Science and Analytics,CK,University College Cork (NUI),531,2021,Information and Communication Technologies (ICTs)
CK412,Agricultural Science,CK,University College Cork (NUI),506,2021,Agriculture
CK504,Nutritional Sciences,CK,University College Cork (NUI),555,2021,Biological and related sciences
CK505,Food Science,CK,University College Cork (NUI),463,2021,Manufacturing and processing
CK600,Engineering,CK,University College Cork (NUI),510,2021,Engineering and engineering trades
CK606,Architecture - Offered jointly by UCC and CIT,CK,University College Cork (NUI),543,2021,Architecture and construction
CK701,Medicine (Undergraduate Entry - HPAT required),CK,University College Cork (NUI),738,2021,Health
CK702,Dentistry,CK,University College Cork (NUI),625,2021,Health
CK703,Pharmacy,CK,University College Cork (NUI),613,2021,Health
CK704,Occupational Therapy,CK,University College Cork (NUI),601,2021,Health
CK705,Speech and Language Therapy,CK,University College Cork (NUI),568,2021,Health
CK706,Public Health Sciences,CK,University College Cork (NUI),500,2021,Health
CK707,Medical and Health Sciences,CK,University College Cork (NUI),578,2021,Health
CK710,General Nursing,CK,University College Cork (NUI),498,2021,Health
CK712,Children`s and General Nursing (Integrated),CK,University College Cork (NUI),565,2021,Health
CK720,Mental Health Nursing,CK,University College Cork (NUI),455,2021,Health
CK730,Intellectual Disability Nursing,CK,University College Cork (NUI),431,2021,Health
CK740,Midwifery,CK,University College Cork (NUI),509,2021,Health
CK791,Medicine  - Graduate Entry (GAMSAT required),CK,University College Cork (NUI),60,2021,Health
AC120,International Business,AC,American College,294,2021,Business and administration
AC137,Liberal Arts,AC,American College,271,2021,Humanities (except languages)
CT125,Computing and IT,CT,CCT College Dublin,242,2021,Information and Communication Technologies (ICTs)
CT325,Business,CT,CCT College Dublin,253,2021,Business and administration
CM001,Education - Primary Teaching,CM,Marino Institute of Education,508,2021,Education
CM002,Education - Primary Teaching - Gaeltacht Applicants,CM,Marino Institute of Education,462,2021,Education
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,CM,Marino Institute of Education,513,2021,Education
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),CM,Marino Institute of Education,480,2021,Education
CM010,Education Studies,CM,Marino Institute of Education,382,2021,Education
CM020,Early Childhood Education,CM,Marino Institute of Education,317,2021,Education
DB500,Computing,DB,Dublin Business School,234,2021,Information and Communication Technologies (ICTs)
DB502,Computing (Data Analytics and Big Data),DB,Dublin Business School,267,2021,Information and Communication Technologies (ICTs)
DB510,Audio Production and Music Project Management,DB,Dublin Business School,217,2021,Arts
DB512,Business Studies,DB,Dublin Business School,243,2021,Business and administration
DB514,Business Studies (Law),DB,Dublin Business School,239,2021,Business and administration
DB515,Business Studies (Human Resource Management),DB,Dublin Business School,242,2021,Business and administration
DB517,Marketing (Event Management),DB,Dublin Business School,233,2021,Business and administration
DB518,Marketing (Digital Media),DB,Dublin Business School,307,2021,Business and administration
DB521,Accounting and Finance,DB,Dublin Business School,243,2021,Business and administration
DB524,Business (Information Systems),DB,Dublin Business School,247,2021,Information and Communication Technologies (ICTs)
DB525,Marketing (Digital Media and Cloud Computing),DB,Dublin Business School,288,2021,Business and administration
DB526,Business (Cloud Computing),DB,Dublin Business School,244,2021,Information and Communication Technologies (ICTs)
DB527,Applied Social Care,DB,Dublin Business School,254,2021,Social and behavioural sciences
DB531,Marketing,DB,Dublin Business School,288,2021,Business and administration
DB562,Psychology,DB,Dublin Business School,244,2021,Social and behavioural sciences
DB566,Social Science,DB,Dublin Business School,262,2021,Social and behavioural sciences
DB567,Film and Creative Media,DB,Dublin Business School,245,2021,Arts
DB568,Law,DB,Dublin Business School,254,2021,Law
